CST1;CST2;CST3;CST4;CST5;CST6;CST7;Shareable Sample Name;Acinetobacter johnsonii;Acinetobacter lwoffii;Anaerococcus unclassified;Corynebacteriaceae unclassified;Corynebacterium kroppenstedtii;Corynebacterium tuberculostearicum;Corynebacterium tuberculostearicum C<0.8;Corynebacterium unclassified;Corynebacterium unclassified C<0.8;Dolosigranulum unclassified;Enterobacteriaceae unclassified C<0.8;Averyella C<0.8;Erwinia C<0.8;Leclercia C<0.8;Klebsiella C<0.8;Proteus unclassified;Proteus vulgaris;Proteus vulgaris C<0.8;Raoultella C<0.8;Serratia marcescens;unclassified Escherichia;Finegoldia unclassified;Moraxella unclassified;Moraxellaceae unclassified;Moraxellaceae unclassified C<0.8;Peptoniphilus asaccharolyticus;Propionibacterium acnes;Propionibacterium granulosum;Pseudomonas unclassified;Psychrobacter unclassified;Simonsiella unclassified;Simonsiella unclassified C<0.8;Staphylococcus aprophyticus C<0.8;Staphylococcus aureus;Staphylococcus aureus C<0.8;Staphylococcus auricularis C<0.8;Staphylococcus capitis C<0.8;Staphylococcus caprae C<0.8;Staphylococcus epidermidis;Staphylococcus epidermidis C<0.8;Staphylococcus haemolyticus C<0.8;Staphylococcus hominis C<0.8;Staphylococcus lugdunensis;Staphylococcus lugdunensis C<0.8;Staphylococcus pasteuri C<0.8;Staphylococcus pettenkoferi C<0.8;Staphylococcus warneri C<0.8;Stenotrophomonas unclassified;Streptococcus unclassified;Streptococcus unclassified C<0.8
1;0;0;0;0;0;0;GWU_11;3;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;37;0;5;3;0;0;0;0;0;2201;927;137;0;8;89;41;7;0;0;20;14;2;5;0;3;1
1;0;0;0;0;0;0;GWU_12;5;0;0;4;4;0;4;37;7;90;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;9;1;789;925;210;3;7;69;12;3;1;2;43;59;0;6;0;8;12
1;0;0;0;0;0;0;GWU_13;0;0;2;3;0;5;3;71;17;123;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;15;1;0;0;2;2;1;705;1215;253;7;33;168;129;26;15;0;13;22;2;20;17;2;1
1;0;0;0;0;0;0;GWU_14;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;91;121;23;0;1;5;5;0;3;0;2;2;0;1;0;0;1
1;0;0;0;0;0;0;GWU_15;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;2;0;0;0;594;1017;113;1;25;21;26;3;5;0;16;10;0;2;0;2;1
1;0;0;0;0;0;0;GWU_16;9;5;11;0;0;1;2;2;3;0;0;0;4;0;2;0;0;0;0;0;0;8;0;0;0;1;11;0;149;0;5;15;6;933;950;96;1;2;28;30;5;3;0;11;8;0;4;26;4;2
1;0;0;0;0;0;0;GWU_17;0;0;0;0;2;0;0;22;5;21;0;0;31;7;11;0;0;0;0;0;0;0;67;0;0;0;6;0;0;0;0;0;0;635;401;177;0;1;20;16;1;0;1;13;9;0;3;242;1;1
1;0;0;0;0;0;0;GWU_18;0;8;0;0;0;0;5;1;0;78;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;454;673;344;0;2;9;69;6;2;0;15;5;0;3;62;1;3
1;0;0;0;0;0;0;GWU_19;0;0;0;0;0;1;2;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;699;537;104;6;11;58;94;6;4;3;10;9;4;22;0;0;0
1;0;0;0;0;0;0;GWU_20;0;0;0;0;0;2;6;113;19;98;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;485;703;82;0;3;15;16;1;1;0;8;4;0;3;0;0;0
1;0;0;0;0;0;0;GWU_21;0;0;58;4;0;1;19;44;14;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;0;39;472;24;0;0;0;3;14;1321;657;274;15;11;187;56;16;31;0;32;8;7;22;0;2;6
1;0;0;0;0;0;0;GWU_22;0;0;0;0;1;0;1;82;5;352;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;551;537;76;0;0;4;8;0;0;2;5;1;0;0;1;0;0
0;1;0;0;0;0;0;GWU_23;0;0;10;0;0;3;5;108;19;1;0;0;1826;0;639;0;0;0;0;0;0;2;0;0;0;2;39;1;0;0;0;3;3;0;2;1;24;14;349;161;9;11;0;4;19;3;79;0;0;0
0;1;0;0;0;0;0;GWU_24;0;3;0;0;0;0;0;17;1;84;3637;0;547;0;234;159;0;66;0;0;173;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;GWU_25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;991;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;17;8;2;0;5;14;0;0
0;1;0;0;0;0;0;GWU_26;0;0;0;0;0;1;0;35;6;18;915;0;134;0;402;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;GWU_27;0;0;0;0;0;0;0;0;1;1;4;0;408;494;122;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;GWU_28;0;0;0;0;0;0;0;2;1;5;0;0;0;0;0;0;0;0;0;0;1749;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9
0;1;0;0;0;0;0;GWU_29;0;0;0;24;0;2;1;74;18;4;0;0;0;0;1;0;0;0;0;0;2529;0;0;0;0;0;38;0;0;0;6;38;0;0;0;0;1;0;31;34;0;6;0;0;0;0;9;0;0;0
0;1;0;0;0;0;0;GWU_30;0;0;0;0;0;0;0;59;6;154;1523;0;580;1;256;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;GWU_31;0;0;0;0;0;0;1;0;1;0;0;457;0;0;1;0;0;0;495;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;5;3;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;GWU_32;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1572;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;GWU_33;0;0;0;0;0;0;0;5;1;6;0;0;0;0;0;0;0;0;0;0;1432;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;GWU_34;0;0;6;0;0;1;4;9;1;0;0;0;3;1;0;0;121;3;0;0;1734;3;1;0;0;3;32;11;0;0;1;3;3;0;0;0;1;0;43;11;0;2;0;1;2;0;3;11;0;4
0;1;0;0;0;0;0;GWU_35;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;959;387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;1;0;0;0;0;0;GWU_36;0;0;0;0;0;0;1;29;8;33;1;0;0;0;0;0;1256;297;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
0;1;0;0;0;0;0;GWU_37;0;0;0;0;0;0;0;0;1;0;183;0;0;75;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;11;0;0;0;0;1;1;1;1;0;0
0;1;0;0;0;0;0;GWU_38;0;0;1;0;0;1;2;45;8;0;17;644;0;11;1;0;0;0;217;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;1;0;0
0;0;1;0;0;0;0;GWU_39;7;1;55;0;37;12;80;231;181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;36;420;1;0;0;11;19;5;4;6;0;8;14;446;158;9;5;0;0;23;6;23;0;9;5
0;0;1;0;0;0;0;GWU_40;0;0;0;9;4;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;16;1;0;0;0;0;0;0;1;0;1;0;21;4;0;0;0;0;0;0;2;0;0;0
0;0;1;0;0;0;0;GWU_41;105;19;7;0;0;10;109;13;57;0;0;0;1;0;2;0;0;0;0;0;0;38;0;4;0;10;76;11;2;0;17;80;1;9;9;0;14;15;573;165;8;10;0;3;9;6;29;0;36;39
0;0;1;0;0;0;0;GWU_42;31;8;39;0;7;1;25;6;15;1;0;0;26;1;4;0;0;0;0;0;5;12;0;0;0;3;4;13;0;1;0;0;1;0;0;0;30;11;322;185;6;68;0;14;16;5;33;210;20;7
0;0;1;0;0;0;0;GWU_43;5;5;13;0;0;1;22;271;38;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;25;0;3;0;0;0;0;1;1;0;33;25;614;554;8;59;0;8;20;13;71;1;11;10
0;0;1;0;0;0;0;GWU_44;0;0;22;0;16;7;66;13;26;0;0;0;7;0;2;0;0;0;0;0;0;7;0;0;0;0;3;15;2;0;10;16;0;428;320;61;19;18;423;282;8;2;0;7;16;9;41;67;0;0
0;0;1;0;0;0;0;GWU_45;0;2;3;0;0;0;0;29;6;16;0;0;20;2;18;0;0;0;0;0;0;5;0;0;0;5;41;2;0;0;0;1;2;88;103;12;7;7;235;140;8;75;0;2;4;3;33;363;20;7
0;0;1;0;0;0;0;GWU_46;10;2;13;5;0;4;13;177;35;0;0;0;0;0;0;0;0;0;0;0;1;22;0;17;0;0;0;48;7;1;2;68;15;0;5;2;46;20;716;578;17;39;0;6;33;25;85;0;54;49
0;0;1;0;0;0;0;GWU_47;1;6;5;19;2;1;56;2;16;24;0;0;0;0;0;0;0;0;0;0;0;0;172;0;0;0;289;10;0;1;66;116;1;0;5;2;33;15;507;469;5;23;0;3;6;8;37;4;14;4
0;0;1;0;0;0;0;GWU_48;0;0;0;0;13;0;2;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;34;0;0;0;1;22;0;0;0;0;36;7;211;114;0;0;0;1;3;1;45;0;0;1
0;0;1;0;0;0;0;GWU_49;1;0;22;0;0;3;14;141;37;1;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;1;59;5;0;0;0;0;5;4;6;1;19;24;467;238;9;6;0;4;19;15;43;1;6;9
0;0;1;0;0;0;0;GWU_50;0;1;11;0;0;4;0;214;25;107;0;0;13;3;8;0;0;0;0;0;0;0;0;0;0;3;22;11;0;0;0;0;2;0;2;0;39;18;469;410;17;14;0;3;40;25;64;149;10;14
0;0;1;0;0;0;0;GWU_51;0;0;0;0;6;1;6;72;14;0;1;0;33;8;15;0;0;0;0;0;0;0;0;3;0;0;60;1;0;0;0;0;6;1;3;0;41;27;725;368;5;8;0;14;25;8;58;357;15;5
0;0;1;0;0;0;0;GWU_52;0;1;16;1;0;1;12;81;19;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;180;14;0;0;0;0;3;0;0;0;4;8;115;46;4;3;0;1;3;2;6;0;0;0
0;0;1;0;0;0;0;GWU_53;0;2;14;5;0;0;9;1;2;1;0;0;21;6;8;0;0;0;0;0;0;0;0;0;0;0;112;20;0;1;0;0;48;0;0;0;21;16;637;146;19;12;63;23;17;4;47;138;1;0
0;0;1;0;0;0;0;GWU_54;2;1;43;10;4;0;17;1;4;0;5;0;44;12;12;1;0;0;0;0;0;0;0;1;0;7;417;23;2;0;0;0;1;80;32;3;6;15;456;181;6;1;0;2;22;7;34;422;0;0
0;0;1;0;0;0;0;GWU_55;0;0;1;0;0;1;0;30;7;1;0;0;0;1;0;0;0;0;0;0;1;3;3;1;0;3;10;4;0;0;3;5;0;0;0;1;12;1;44;31;0;9;5;3;2;1;14;0;12;4
0;0;1;0;0;0;0;GWU_56;0;4;160;3;0;7;53;27;28;1;434;0;5;94;2;0;0;0;162;0;0;79;0;0;0;197;357;32;0;0;4;7;0;1;5;0;13;22;616;191;12;8;0;10;14;8;43;0;0;4
0;0;1;0;0;0;0;GWU_57;8;0;0;0;0;0;0;9;1;23;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;4;72;0;0;0;3;15;0;0;2;0;28;16;386;475;10;55;0;6;22;17;62;0;0;1
0;0;1;0;0;0;0;GWU_58;11;0;59;3;1;1;60;32;39;1;0;0;5;0;1;0;0;0;0;0;0;17;0;1;0;62;113;9;0;0;0;11;0;227;274;30;97;31;530;493;7;20;149;62;46;44;232;58;3;3
0;0;1;0;0;0;0;GWU_59;19;1;15;0;0;1;3;12;3;286;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;24;28;3;0;0;0;3;1;635;749;100;25;18;341;435;9;13;11;18;20;11;55;0;0;2
