,agreement,ars,block_sizes,dataset_name,dataset_type,Lower bound,max_order,Number of cuts,order_best,p,percentile_orders,preprocessing_name,q,seed,unique_id
6510,50.0,0.29951537228220143,"[100, 100]",sbm,graph,0.3,3934.0,50.0,2856.0,0.46,100.0,fid_mat,0.32,42.0,1589802894
6511,50.0,1.0,"[100, 100]",sbm,graph,0.3,4144.0,50.0,1403.0,0.69,100.0,fid_mat,0.14,42.0,1589802894
6512,50.0,0.010834354654261968,"[100, 100]",sbm,graph,0.4,5999.0,50.0,5345.0,0.32,100.0,fid_mat,0.87,42.0,1589802894
6513,50.0,1.0,"[100, 100]",sbm,graph,0.4,7366.0,50.0,6005.0,0.87,100.0,fid_mat,0.6,42.0,1589802894
6514,50.0,0.0,"[100, 100]",sbm,graph,0.2,7331.0,50.0,4470.0,0.55,100.0,fid_mat,0.92,42.0,1589802894
6515,50.0,-0.004766807667894866,"[100, 100]",sbm,graph,0.4,3018.0,50.0,2470.0,0.09,100.0,fid_mat,0.51,42.0,1589802894
6516,50.0,0.4436220243386072,"[100, 100]",sbm,graph,0.3,2076.0,50.0,1368.0,0.28,100.0,fid_mat,0.14,42.0,1589802894
6517,50.0,0.0,"[100, 100]",sbm,graph,0.2,1535.0,50.0,763.0,0.09,100.0,fid_mat,0.23,42.0,1589802894
6518,50.0,0.8275232286335967,"[100, 100]",sbm,graph,0.3,7651.0,50.0,6945.0,0.83,100.0,fid_mat,0.69,42.0,1589802894
6519,50.0,0.0,"[100, 100]",sbm,graph,0.2,8166.0,50.0,5292.0,0.83,100.0,fid_mat,0.87,42.0,1589802894
6520,50.0,0.3771500700554132,"[100, 100]",sbm,graph,0.3,3455.0,50.0,2570.0,0.41,100.0,fid_mat,0.28,42.0,1589802894
6521,50.0,0.0,"[100, 100]",sbm,graph,0.2,3883.0,50.0,2487.0,0.46,100.0,fid_mat,0.41,42.0,1589802894
6522,50.0,0.9900495024751238,"[100, 100]",sbm,graph,0.4,5277.0,50.0,4126.0,0.64,100.0,fid_mat,0.41,42.0,1589802894
6523,50.0,0.0,"[100, 100]",sbm,graph,0.3,6432.0,50.0,5047.0,0.41,100.0,fid_mat,0.87,42.0,1589802894
6524,50.0,0.0,"[100, 100]",sbm,graph,0.4,6647.0,50.0,6019.0,0.51,100.0,fid_mat,0.83,42.0,1589802894
6525,50.0,0.0,"[100, 100]",sbm,graph,0.3,5963.0,50.0,5144.0,0.41,100.0,fid_mat,0.87,42.0,1589802894
6526,50.0,0.0075026053519460295,"[100, 100]",sbm,graph,0.3,8058.0,50.0,6533.0,0.83,100.0,fid_mat,0.78,42.0,1589802894
6527,50.0,0.4748120872091056,"[100, 100]",sbm,graph,0.3,5818.0,50.0,4479.0,0.69,100.0,fid_mat,0.46,42.0,1589802894
6528,50.0,1.0,"[100, 100]",sbm,graph,0.4,5546.0,50.0,3217.0,0.78,100.0,fid_mat,0.32,42.0,1589802894
6529,50.0,0.0,"[100, 100]",sbm,graph,0.3,8962.0,50.0,7641.0,0.92,100.0,fid_mat,0.92,42.0,1589802894
6530,50.0,0.9799995050507552,"[100, 100]",sbm,graph,0.4,1820.0,50.0,912.0,0.28,100.0,fid_mat,0.09,42.0,1589802894
6531,50.0,1.0,"[100, 100]",sbm,graph,0.4,3669.0,50.0,913.0,0.64,100.0,fid_mat,0.09,42.0,1589802894
6532,50.0,0.0,"[100, 100]",sbm,graph,0.3,3721.0,50.0,2752.0,0.28,100.0,fid_mat,0.46,42.0,1589802894
6533,50.0,0.4403206940124564,"[100, 100]",sbm,graph,0.3,7587.0,50.0,6068.0,0.87,100.0,fid_mat,0.64,42.0,1589802894
6534,50.0,1.0,"[100, 100]",sbm,graph,0.3,1403.0,50.0,1403.0,0.6,100.0,fid_mat,0.14,42.0,1589802894
6535,50.0,0.0,"[100, 100]",sbm,graph,0.2,4509.0,50.0,2435.0,0.64,100.0,fid_mat,0.28,42.0,1589802894
6536,50.0,0.0,"[100, 100]",sbm,graph,0.2,5641.0,50.0,3307.0,0.37,100.0,fid_mat,0.74,42.0,1589802894
